Month/Day	SUM of Weight Debt	COUNT of Weight Debt	Daily Average
01-01	168.805	8	21.100625
01-02	195.1175	13	15.00903846
01-03	353.86	17	20.81529412
01-04	391.855	22	17.81159091
01-05	1667.93	25	66.7172
01-06	247.265	8	30.908125
01-07	316.73	17	18.63117647
01-08	327.3075	20	16.365375
01-09	136.0575	12	11.338125
01-10	235.5475	13	18.11903846
01-11	247.985	11	22.54409091
01-12	1446.885	18	80.3825
01-13	62.485	7	8.926428571
01-14	145.6875	13	11.20673077
01-15	173.6225	16	10.85140625
01-16	175.605	17	10.32970588
01-17	170.4925	12	14.20770833
01-18	334.12	14	23.86571429
01-19	237.4425	13	18.26480769
01-20	555.805	10	55.5805
01-21	475.8425	20	23.792125
01-22	268.8975	17	15.8175
01-23	391.9525	17	23.05602941
01-24	272.475	13	20.95961538
01-25	492.66	15	32.844
01-26	335.7425	13	25.82634615
01-27	415.92	15	27.728
01-28	239.1	16	14.94375
01-29	120.235	9	13.35944444
01-30	171.265	9	19.02944444
01-31	225.015	19	11.84289474
02-01	506.37	18	28.13166667
02-02	611.29	13	47.02230769
02-03	691.065	15	46.071
02-04	108.72	8	13.59
02-05	214.625	17	12.625
02-06	175.0075	9	19.44527778
02-07	126.77	11	11.52454545
02-08	240.3425	8	30.0428125
02-09	323.485	11	29.40772727
02-10	248.995	8	31.124375
02-11	571.11	18	31.72833333
02-12	168.65	11	15.33181818
02-13	232.8275	11	21.16613636
02-14	244.4875	15	16.29916667
02-15	154.6675	8	19.3334375
02-16	281.9575	14	20.13982143
02-17	824.625	21	39.26785714
02-18	161.7625	10	16.17625
02-19	165.17	8	20.64625
02-20	587.585	17	34.56382353
02-21	634.005	15	42.267
02-22	651.0825	17	38.29897059
02-23	418.5525	10	41.85525
02-24	2273.665	12	189.4720833
02-25	949.045	18	52.72472222
02-26	679.42	27	25.1637037
02-27	292.67	16	18.291875
02-28	142.53	8	17.81625
02-29	69.435	5	13.887
03-01	2046.78	17	120.3988235
03-02	35.3325	8	4.4165625
03-03	168.255	11	15.29590909
03-04	720.035	14	51.43107143
03-05	207.3825	14	14.81303571
03-06	477.835	12	39.81958333
03-07	576.89	12	48.07416667
03-08	234.0675	13	18.00519231
03-09	195.195	11	17.745
03-10	98.745	6	16.4575
03-11	490.94	12	40.91166667
03-12	983.2475	12	81.93729167
03-13	85.645	10	8.5645
03-14	217.38	15	14.492
03-15	492.245	16	30.7653125
03-16	412.4075	17	24.25926471
03-17	418.635	16	26.1646875
03-18	200.675	10	20.0675
03-19	136.79	10	13.679
03-20	235.8625	19	12.41381579
03-21	254.5375	14	18.18125
03-22	574.7	12	47.89166667
03-23	253.665	15	16.911
03-24	586.3725	12	48.864375
03-25	630.515	16	39.4071875
03-26	88.385	10	8.8385
03-27	118.56	5	23.712
03-28	1040.8175	14	74.34410714
03-29	283.0375	9	31.44861111
03-30	822.1725	16	51.38578125
03-31	235.08	9	26.12
04-01	334.095	17	19.65264706
04-02	404.4125	15	26.96083333
04-03	592.98	21	28.23714286
04-04	539.775	20	26.98875
04-05	1114.5475	23	48.45858696
04-06	435.8625	15	29.0575
04-07	808.185	17	47.54029412
04-08	222.3475	17	13.07926471
04-09	325.1725	13	25.01326923
04-10	132.785	7	18.96928571
04-11	359.13	10	35.913
04-12	252.7975	15	16.85316667
04-13	269.2425	15	17.9495
04-14	282.695	13	21.74576923
04-15	532.465	13	40.95884615
04-16	118.365	11	10.76045455
04-17	426.095	17	25.06441176
04-18	352.6325	16	22.03953125
04-19	543.45	12	45.2875
04-20	603.7975	13	46.44596154
04-21	179.315	11	16.30136364
04-22	362.1725	15	24.14483333
04-23	52.6525	8	6.5815625
04-24	236.6925	11	21.5175
04-25	364.415	12	30.36791667
04-26	136.5525	10	13.65525
04-27	158.6275	10	15.86275
04-28	444.9075	12	37.075625
04-29	93.5325	8	11.6915625
04-30	157.49	12	13.12416667
05-01	63.4075	10	6.34075
05-02	25.0525	6	4.175416667
05-03	162.705	15	10.847
05-04	438.36	8	54.795
05-05	380.805	13	29.29269231
05-06	744.5425	17	43.79661765
05-07	211.1975	13	16.24596154
05-08	137.6475	11	12.51340909
05-09	102.25	14	7.303571429
05-10	67.9375	6	11.32291667
05-11	144.1625	9	16.01805556
05-12	226.2275	11	20.56613636
05-13	38.275	7	5.467857143
05-14	50.7125	7	7.244642857
05-15	18.37	5	3.674
05-16	102.03	10	10.203
05-17	65.3975	5	13.0795
05-18	218.965	7	31.28071429
05-19	162.755	7	23.25071429
05-20	200.3225	13	15.40942308
05-21	62.8725	6	10.47875
05-22	135.175	11	12.28863636
05-23	112.4475	11	10.2225
05-24	224.345	7	32.04928571
05-25	384.1525	14	27.43946429
05-26	111.205	12	9.267083333
05-27	178.91	10	17.891
05-28	44.755	7	6.393571429
05-29	88.9375	9	9.881944444
05-30	137.785	11	12.52590909
05-31	51.7825	4	12.945625
06-01	145.7925	14	10.41375
06-02	178.7075	8	22.3384375
06-03	287.74	21	13.70190476
06-04	116.9425	9	12.99361111
06-05	239.73	18	13.31833333
06-06	239.735	10	23.9735
06-07	147.08	8	18.385
06-08	85.8925	7	12.27035714
06-09	222.6925	10	22.26925
06-10	223.255	11	20.29590909
